GDPQ;LHEM;LPMHU;P16;FM2;FYGM3;PUNEW;CANN;GBRN;DEUN;FRAN;ITAN;JPNN;ESPN;CANRGDP;GBRRGDP;FDRRGDPS;FRARGDP;ITARGDP;JPNGNP85;ESPGDPVS
2364;69710.33333;119.6766663;125289;422.0666707;3.683333317;31.1666673;6671.8466;2468.524;;14380.8022;19725.0263;4683.573;;205944;307436;1042;;;97481;
2410.100098;70187.66667;121.5200017;125814;430.3999939;3.890000025;31.29999924;6779.1037;2475.7544;;14423.2465;19510.5286;4705.4425;;212268;307368;1061.6;;;98560;
2442.800049;70897.33333;122.5666656;126324.6667;437.4666646;3.873333375;31.5;6829.3808;2476.837;;14463.5754;19428.0162;4704.6568;;214340;306420;1079.6;;;99940;
2485.5;71369.33333;123.546669;126745;445.9333394;3.866666635;31.60000038;6890.7559;2477.6536;;14518.4433;19542.4501;4742.4085;;217492;308912;1086.4;;;102169;
2543.800049;71827;125.3233337;127169.3333;456.0333252;4.166666826;31.73333359;6946.4347;2489.8678;;14571.4593;19538.7482;4765.1477;;223108;312920;1090;;;103353;
2596.800049;72173.33333;127.5633341;127511.3333;464.5999959;4.610000134;32.06666629;7153.8872;2494.7036;;14653.7808;19137.2375;4802.8031;;228216;313556;1111.6;;;106423;
2601.399902;72594;128.8166656;127868.6667;470.0999959;4.586666584;32.36666743;7201.7932;2492.7295;;14735.0293;19203.842;4820.9707;;231320;314372;1117.6;;;110773;
2626.100098;73088;129.756663;128233.6667;472.9333293;5.043333371;32.66666667;7269.8933;2491.5953;;14785.4472;19188.2044;4834.8951;;231964;315308;1116.4;;;113461;
2640.5;73656.66667;130.7166697;128617;477.8333333;5.210000038;32.90000153;7339.8035;2469.2279;;14837.4938;19188.4433;4852.507;;234576;315756;1098.4;;;115540;
2657.199951;73572;130.9599965;129043.6667;485.3666585;4.513333321;32.96666718;7393.0055;2455.2284;;14889.8585;19451.1912;4867.7401;;234076;319400;1093.2;;;118714;
2669;74001.33333;130.8799998;129527;497.0666707;3.659999927;33.1666654;7417.3076;2456.978;;14900.1119;19355.0219;4934.5857;;238776;322332;1092.8;;;121667;
2699.5;74713.66667;131.8166606;130165.6667;510.7333374;4.300000032;33.5;7503.0454;2459.5822;;14908.1799;19393.6634;4936.5521;;239816;322160;1116.4;;;125991;
2715.100098;75216.33333;132.7200012;130757.3333;521.2999878;4.753333251;33.86666743;7488.2988;2448.3878;;14900.0658;19421.4796;4943.7595;;240556;323952;1131.6;;;128461;
2752.100098;75102.66667;133.3133291;131267;530.0333252;5.050000032;34.19999949;7471.9235;2444.9097;;14966.9452;19417.5671;4958.195;;243008;334964;1338;;;131466;
2796.899902;75950;134.3766632;131712.3333;539.0666707;5.519999981;34.5333341;7539.4438;2442.7888;;14950.0777;19501.1654;4999.8369;;249204;330480;1348.4;;;136140;
2816.800049;76100.66667;135.8333333;132250;549.8000081;5.196666718;35;7632.4746;2445.2026;;15055.9148;19370.3086;5015.0726;;253556;336080;1378;;;139342;
2821.699951;76498.66667;136.5633291;132880;562.1666667;5.586666584;35.43333308;7726.0568;2446.6017;;15195.0735;19262.0597;5036.7235;;258488;338788;1398.8;;;148197;
2864.600098;77166.33333;138.0500031;133476;571.5999959;6.093333244;35.86666616;7805.1687;2445.8603;;15337.7587;19215.2516;5015.7198;;260376;338860;1434;;;148965;
2867.800049;77605;139.2300008;134020.3333;577;6.196666718;36.43333308;7854.0238;2446.9211;;15495.2521;19278.3175;5036.7044;;261792;340784;1452.4;;;153149;
2884.5;78153;140.1966705;134595;580.8666585;7.023333391;36.93333308;7825.5714;2446.0844;;15655.8707;19125.4058;5053.7003;;265296;342960;1483.6;;;156649;
2875.100098;78575.33333;140.5099996;135246.6667;586.7333374;7.353333314;37.5;7841.994;2443.73;;15789.835;19226.2247;5058.4199;;270568;345348;1506.4;;;163411;
2867.800049;78780.33333;140.0299988;135949.6667;589.6999919;7.210000038;38.09999975;7860.4405;2445.6897;2643.18;15867.6238;19264.7165;5078.106;12368;270144;343308;1509.2;1979.7;517696;168103;20287
